title,author,genre_id,genre,ISBN,description_aladin,description_naver,salesPoint,mallType
달러구트 꿈 백화점 - 주문하신 꿈은 매진입니다,이미예 (지은이),51122,국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설,9791165341909,"이미예 장편소설. 잠들어야만 입장할 수 있는 독특한 마을. 그곳에 들어온 잠든 손님들에게 가장 인기 있는 곳은, 온갖 꿈을 한데 모아 판매하는 '달러구트의 꿈 백화점'이다. 긴 잠을 자는 사람들은 물론이고, 짧은 낮잠을 자는 사람들과 동물들로 매일매일 대성황을 이룬다.","잠들어야만 입장 가능한 꿈 백화점에서 일어나는 비밀스럽고도 기묘하며 가슴 뭉클한 판타지 소설

여기는 잠들어야만 입장할 수 있는 ‘달러구트 꿈 백화점’입니다. 잠들어야만 입장할 수 있는 독특한 마을. 그곳에 들어온 잠든 손님들에게 가장 인기 있는 곳은, 온갖 꿈을 한데 모아 판매하는 ‘달러구트의 꿈 백화점’이다. 긴 잠을 자는 사람들은 물론이고, 짧은 낮잠을 자는 사람들과 동물들로 매일매일 대성황을 이룬다. 
범상치 않은 혈통의 주인장 ‘달러구트’, 그리고 그의 최측근에서 일하게 된 신참 직원 ‘페니’, 꿈을 만드는 제작자 ‘아가넵 코코’, 그리고 베일에 둘러싸인 비고 마이어스…등이 등장한다. 
《달러구트 꿈 백화점》은 ‘무의식에서만 존재하는 꿈을 정말 사고 팔 수 있을까?’라는 기발한 질문에 답을 찾아가며, 꿈을 만드는 사람, 파는 사람, 사는 사람의 비밀스런 에피소드를 담고 있는 판타지 소설이다. 텀블벅 펀딩 1812% 달성, 전자책 출간 즉시 베스트셀러 1위를 3주간 기록하며 수많은 독자들의 요청으로 종이책으로 출간하게 되었다.",85353,BOOK
공정하다는 착각,"마이클 샌델 (지은이), 함규진 (옮긴이)",51304,국내도서>사회과학>사회학>사회학 일반,9791164136452,"“우리가 ‘노력하면 성공할 수 있다’고 너무나도 당연히 생각해왔던, 개인의 능력을 우선시하고 보상해주는 능력주의 이상이 근본적으로 크게 잘못되어 있다”고 주장한다. 이러한 능력주의가 제대로 공정하게 작동하고 있는지, ‘공정함=정의’란 공식은 정말 맞는 건지 진지하게 되짚어본다.","마이클 샌델, 10여 년 만에 던지는 충격적 화두!
“지금 서 있는 그 자리, 정말 당신의 능력 때문인가?”

마이클 샌델 10여 년 만의 신간, 《공정하다는 착각》 출간!
샌델, 기울어진 사회구조 이면에 도사린 ‘능력주의의 덫’을 해체하다

또 다시 ‘공정’이 화두다. 언론 미디어를 통해, 부유층과 빈곤층, 청년과 장년, 정치인의 입을 통해 끊임없이 쏟아져 나온다. 기업은 정규직ㆍ비정규직 논란에서 비롯된 ‘공정 채용’ 문제로 혼란에 빠져 있고, 정치권에선 ‘공정경제3법’과 ‘재난지원금’ 등에 대한 각기 다른 해석으로 떠들썩하다. 대통령은 “하나의 공정이 또 다른 불공정을 부르는 상황”을 언급하며 어려움을 토로하기도 했다.

이렇듯 ‘공정’이라는 하나의 화두를 두고 각계각층이 충돌하고 있는 상황에서, 마이클 샌델 하버드대 교수가 《돈으로 살 수 없는 것들》 이후 8년 만에 쓴 신간 《공정하다는 착각》이 출간되었다. 이 책은 《The Tyranny of Merit: What’s Become of the Common Good?》란 원제로 미국 현지에서 2020년 9월에 출간되어 뜨거운 반응을 얻고 있다. 직역하면 ‘능력주의의 폭정: 과연 무엇이 공동선을 만드나?’다. 샌델은 이 책을 통해 “우리가 ‘노력하면 성공할 수 있다’고 너무나도 당연히 생각해왔던, 개인의 능력을 우선시하고 보상해주는 능력주의 이상이 근본적으로 크게 잘못되어 있다”고 주장한다. 이러한 능력주의가 제대로 공정하게 작동하고 있는지, ‘공정함=정의’란 공식은 정말 맞는 건지 진지하게 되짚어본다.",62876,BOOK
해커스 토익 기출 VOCA (보카) - 주제별 연상암기로 토익 영단어 30일 완성! RC/LC 필수 토익 보카 [최신 기출 어휘+출제포인트 수록ㅣ단어암기 어플 제공],David Cho (지은이),49857,국내도서>외국어>토익>Vocabulary,9788965422785,토익 기초 단어부터 고난도 어휘까지 모든 난이도의 단어를 수록했다. 토익 빈출?주제 30개에 맞춰?단어를 수록하여 주제별로 묶어서 쉽게 암기가 가능하다. 단어 MP3를 바로 들을 수 있는 QR코드를 각 Day 시작 페이지에 삽입하여 편리하게 학습이 가능하다.,"주제별 연상암기로 토익 영단어 30일 완성

1. 토익 기출 보카 30일 완성!
2. 주제별 연상암기로 쉽고 재미있게 단어 학습
3. 최신 기출 단어 및 출제포인트 수록
4. 목표 점수대별 필수 단어로 맞춤 학습 가능
5. 출제율 높은 핵심 단어만 골라 효율적으로 학습
6. 토익 신유형 대비 〈토익 필수 이디엄 표현〉 수록
7. 실전 감각을 키우는 토익 실전문제 13회분 제공(교재 3회+온라인 10회)",217557,BOOK
"하이큐!! 45 - 완결, 도전자들",후루다테 하루이치 (지은이),4133,국내도서>만화>본격장르만화>판타지>액션 판타지,9791136255822,,"차세대 왕도 스포츠 만화!
극강의 청춘 배구 스토리

Haruichi Furudate의 만화 『하이큐』. 마침내 한국 상륙! 일본 현지 누계부수 100만부 돌파 「주간소년점프」 인기작! 이것이 바로 정통 스포츠 소년만화다! 동료들과의 특별한 만남과 흘러내리는 소중한 땀, 그리고 정상을 향한 목표! 모두가 기다려 왔던 ‘점프’식 왕도 스포츠 만화! 기존 애니메이션에서는 만나보기 힘들었던 배구를 소재로 다루고 있으며, 세터를 중심으로 이야기가 진행된다는 점이 특징이다.

히나타 쇼요는 초등학교 시절 TV에서 보았던 고교 배구대회 경기를 우연히 보다, 카라스노 고등학교의 에이스 '작은 거인'을 동경해서 배구를 시작했다. 중학교 경기에서 '코트 위의 제왕'이라는 별명을 지닌 천재 세터 카게야마 토비오가 속한 키타가와 제1 중학교와 맞붙어 참패 당하고 복수하겠다는 일념으로  '작은 거인'이 다녔던 카라스노 고등학교에 입학하지만, 그곳에서 웬일인지 카라스노 고등학교에 입학한 카게야마와 만나게 된다! 히나타X카게야마의 우정과 성장 스토리가 펼쳐진다.",6904,BOOK
"시선으로부터, (10만 부 기념 새해 에디션)",정세랑 (지은이),50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,9788954672214,"출판계에서 2020년 올해 가장 많은 시선을 모은 문학 작품에 대해서 이야기하라면 &lt;시선으로부터,&gt;를 빼놓을 수 없을 것이다. 정세랑 작가의 대표작으로 남을 것이 분명한 &lt;시선으로부터,&gt;의 10만 부 발행을 기념해 새해 에디션을 출간한다.","“이 소설은 무엇보다 20세기를 살아낸 여자들에게 바치는 21세기의 사랑이다.”
  한국문학이 당도한 올곧은 따스함, 정세랑 신작 장편소설

독창적인 목소리와 세계관으로 구축한 SF소설부터 우리 시대의 현실에 단단히 발 딛고 나아가는 이야기들까지, 폭넓은 작품 세계로 우리에게 늘 새로운 놀라움을 선사했던 정세랑. 작가의 동명 소설을 원작으로 제작되는 넷플릭스 드라마 〈보건교사 안은영〉(이경미 감독, 정유미 주연)과, SM에서 제작중인 케이팝 드라마 〈일루미네이션〉의 각본을 집필하며 활동 반경을 넓혀가고 있는 그가 장편소설 『시선으로부터,』로 돌아왔다. 『시선으로부터,』는 구상부터 완성까지 5년이 걸린 대작으로, 한국일보문학상을 수상한 『피프티 피플』 이후 4년 만에 내놓는 신작 장편소설이다. 『시선으로부터,』는 올해 3월 오픈한 웹진 〈주간 문학동네〉에서 3개월간 연재되었으며, 〈주간 문학동네〉 연재 후 출간되는 첫 소설이기도 하다. 

이 소설은 시대의 폭력과 억압 앞에서 순종하지 않았던 심시선과 그에게서 모계로 이어지는 여성 중심의 삼대 이야기이다. 한국전쟁의 비극을 겪고 새로운 삶을 찾아 떠난 심시선과, 20세기의 막바지를 살아낸 시선의 딸 명혜, 명은, 그리고 21세기를 살아가고 있는 손녀 화수와 우윤. 심시선에게서 뻗어나온 여성들의 삶은 우리에게 가능한 새로운 시대의 모습을 보여준다. 협력업체 사장이 자행한 테러에 움츠러들었던 화수는 세상의 일그러지고 오염된 면을 설명할 언어를 찾고자 한다. 해림은 친구에게 가해진 인종차별 발언에 대신 화를 내다가 괴롭힘을 당했지만 후회하거나 굴하지 않는다. 경아는 무난한 자질을 가지고도 오래 견디는 여성이 있다는 걸 보여주면서 뒤따라오는 여성들에게 힘을 주고자 한다.",3347,BOOK
마음챙김의 시,류시화 (엮은이),51168,국내도서>소설/시/희곡>시>외국시,9791190382267,백만 독자의 찬사와 인기를 얻은 잠언 시집 &lt;지금 알고 있는 걸 그때도 알았더라면&gt;과 치유 시집 &lt;사랑하라 한번도 상처받지 않은 것처럼&gt;에 이어 15년 만에 류시화 시인이 소개하는 마음챙김의 시들. 삶의 무늬를 담은 한 편 한 편의 시가 가슴에 파문을 일으킨다.,"“날개를 주웠다, 내 날개였다.”

시를 읽는 것은 자기 자신으로 돌아오는 것이고, 세상을 경이롭게 여기는 것이며, 여러 색의 감정을 경험하는 것이다. 살아온 날들이 살아갈 날들에게 묻는다. ‘마음챙김의 삶을 살고 있는가, 마음놓침의 시간을 보내고 있는가?’ 

사회적 거리두기와 삶에 대한 성찰이 어느 때보다 필요한 지금, 손 대신 시를 건네는 것은 어떤가. 멕시코의 복화술사, 영국 선원의 선원장, 기원전 1세기의 랍비와 수피의 시인뿐 아니라 파블로 네루다와 비스와바 쉼보르스카 같은 노벨 문학상 수상 시인, 페이스북과 인스타그램의 신세대 시인들, 그리고 라다크 사원 벽에 시를 적은 무명씨. 고대와 중세와 현대의 시인들이 나와 타인에 대한 운율 깃든 성찰로 독자를 초대한다. 

아름다운 시들을 모았다고 해서 좋은 시집이 되지는 않는다. 진실한 깨달음이 시의 문을 여는 순간이 있다. 백만 독자의 찬사와 인기를 얻은 잠언 시집 『지금 알고 있는 걸 그때도 알았더라면』과 치유 시집 『사랑하라 한번도 상처받지 않은 것처럼』에 이어 15년 만에 류시화 시인이 소개하는 마음챙김의 시들. 삶의 무늬를 담은 한 편 한 편의 시가 가슴에 파문을 일으킨다.",35942,BOOK
트렌드 코리아 2021 - 서울대 소비트렌드 분석센터의 2021 전망,"김난도, 전미영, 최지혜, 이향은, 이준영, 이수진, 서유현, 권정윤, 한다혜 (지은이)",263,국내도서>경제경영>트렌드/미래전망>트렌드/미래전망 일반,9788959896837,"팬데믹 속에서도 평정심을 유지하자는 뜻, 백신의 기원이 된 소의 해, 현실을 직시하되 희망을 잃지 말자는 의미에서 COWBOY HERO를 2021의 10대 트렌드 키워드로 선정했다. 날뛰는 소를 마침내 길들이는 멋진 카우보이처럼, 시의적절한 전략으로 팬데믹의 위기를 헤쳐나가기를 기원하는 뜻을 담았다.","코로나가 앞당긴 미래, 더욱 빨라진 변화의 속도
바이러스發 경제, V-nomics(브이노믹스) 시대의 전략을 말하다

‘집콕’이 일상어로 자리 잡고 비대면은 이제 누구에게나 익숙하며 마스크를 쓰지 않는 것이 더 어색한 세상이 되었다. 코로나가 일상이 되면서 사람들은 서서히 21세기 팬데믹에 적응해가는 중이다. 무슨 일이 벌어져도 삶은 계속되고 소비는 이루어진다. 코로나가 순식간에 큰 변화를 몰고 온 것 같아도 지금의 변화는 이전부터 서서히 진행되어왔던 것이다. 언택트, 집 중심의 라이프스타일, 온라인 쇼핑의 증가는 이미 저변이 확대되고 있었으나 이번 사태로 그 확산 속도가 더욱 빨라졌을 뿐이다. 

『트렌드 코리아 21』은 팬데믹 속에서도 평정심을 유지하자는 뜻, 백신의 기원이 된 소의 해, 현실을 직시하되 희망을 잃지 말자는 의미에서 COWBOY HERO를 2021의 10대 트렌드 키워드로 선정했다. 날뛰는 소를 마침내 길들이는 멋진 카우보이처럼, 시의적절한 전략으로 팬데믹의 위기를 헤쳐나가기를 기원하는 뜻을 담았다. 이번 10가지 트렌드의 전반적인 흐름을 설명할 때 가장 먼저 눈에 띄는 부분은 모든 트렌드가 코로나 사태의 영향에서 자유롭지 못하다는 점이다. 트렌드는 사회의 반영이기에 매우 당연한 일이다. 본서의 첫 키워드인 브이노믹스V-nomics는 바이러스virus의 V에서 출발한 단어로 “바이러스가 바꿔놓은, 그리고 바꾸게 될 경제”라는 의미다. 과연 V자 회복은 가능할까? 기존의 가치Value는 어떻게 변할까? 언택트 트렌드의 진화는 어디까지인가? 새로운 브이노믹스 패러다임에 얼마나 잘 적응하느냐가 장기화될 코로나 시대를 이겨내는 전략을 제공할 것이다. 

국내 경기는 전반적으로 K자형 양극화를 그릴 것으로 예상되지만, 업종별로는 V, U, W, S, 역V 등 다양한 모습을 보일 것으로 전망된다. 이를 나누는 기준은 대면성의 정도, 대체재의 존재 여부, 기존 트렌드와 얼마나 부합하느냐다. 예를 들어, 대표적인 코로나 특수형인 국내여행과 화상 커뮤니케이션, 홈웨어 시장은 역V자형으로 분류된 반면, 비대면 성향이 높고 기존 트렌드와 부합하는 온라인쇼핑과 캠핑, 호캉스, 애슬레저룩 등은 코로나 이후에도 더욱 성장이 가속화되는 S자형으로 분류됐다.  

이른바 VUCA(변동성Volatility, 불확실성Uncertainty, 복잡성Complexity, 모호성Ambiguity)로 대변되는 작금의 상황은 기업과 개인 모두에게 신속한 상황 파악과 이에 따른 빠른 적응을 요구한다. 쉬운 일은 아니다. 이를 위해서는 무엇보다 유연한 사고가 필요하고 과감한 방향 선회 그리고 실패를 용인하는 관용적인 태도 또한 중요하다. 장기간의 공들인 전략과 마케팅보다는 우선 뭐라도 해보는 자세가 더 중요하다. 즉, “Done is better than perfect(완벽함을 추구하기보다 먼저 실행하라).” 정신이 절실한 시점이다. ‘빠른 생애사 전략’을 기본으로 한 ‘피보팅’에 주목해야 하는 이유다.",18895,BOOK
큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1.2.3급) 상 - 새로운 시험 체계(2020년 5월 47회부터 시행)에 대비한 맞춤 기본서,최태성 (지은이),166525,"국내도서>수험서/자격증>한국사능력검정시험>심화(1,2,3급)",9791164421053,"오랜 연구와 검증으로 한국사에 기초가 전혀 없는 사람도 단기간에 한능검에 합격할 수 있는 최적의 수험서다. 판서의 장인 큰별쌤 최태성이 핵심만을 모아 만든 아트 판서를 수록하고, 시험에 자주 등장하는 사료, 사진, 지도 등을 모아 해설하여 합격을 위한 필수 개념을 익히기 쉽게 하였다.","오랜 연구와 검증으로 한국사에 기초가 전혀 없는 사람도 단기간에 한능검에 합격할 수 있는 최적의 수험서다. 판서의 장인 큰별쌤 최태성이 핵심만을 모아 만든 아트 판서를 수록하고, 시험에 자주 등장하는 사료, 사진, 지도 등을 모아 해설하여 합격을 위한 필수 개념을 익히기 쉽게 하였다. 또한, 한능검 기출문제를 모두 분석한 후 반복적으로 출제되는 주제의 최신 기출문제를 꼼꼼 친절 해설과 함께 담아 실전에 대비할 수 있으며, 기출 선택지를 이용한 별 채우기 문제를 수록하여 반복 학습을 통해 자연스럽게 기출 선택지가 기억될 수 있도록 하였다. 또한 한국사 연표와 지역의 역사를 담은 지도를 제공한다.<BR>
<BR>
<b>※ 표지 안내</b><BR>
<BR>
* 현재 웹에 보여지는 표지는 실제 책의 뒷표지입니다.<BR>
<BR>
많은 사람들이 쓰는 책의 앞표지에 선한 메시지가 담기면 좋겠다는 큰별쌤의 뜻에 따라 <별별한국사 한국사능력검정시험 심화(1.2.3급) 상>의 앞표지를 이회영 선생님에 대한 이야기로 구성했는데, 앞표지에는 책제목 등의 정보가 노출되지 않아 부득이하게 정보가 있는 뒷표지를 앞표지로 대신하게 되었으니 구입에 참고해 주시기 바랍니다.",16400,BOOK
니클의 소년들,"콜슨 화이트헤드 (지은이), 김승욱 (옮긴이)",50919,국내도서>소설/시/희곡>영미소설,9791191071238,"2020 퓰리처상 수상작. 미국 플로리다주 탤러해시의 니클 캠퍼스에서 의문의 비밀 묘지가 발견된다. 두개골에 금이 가고 갈비뼈에 산탄이 박힌 수상쩍은 유해들이 세상 밖으로 드러나고, 전국의 언론들이 이 사건을 주목하면서 니클 출신의 피해자들이 목소리를 내기 시작한다.","콜슨 화이트헤드가 복원해낸 차별로 얼룩진 미국의 과거와 현재 그리고 미래!

2020 퓰리처상을 수상한 콜슨 화이트헤드의 장편소설 『니클의 소년들』. 엘우드를 중심으로 과거와 현재를 오가며 니클 감화원에서 벌어졌던 일들을 서술한다. 인종차별정책이 시행되었던 1960년대와 지금의 2010년대가 교차하는 시점 전환은 과거와 현재를 선명히 대비시키며 그동안 밝혀지지 않은, 혹은 외면해왔던 진실을 드러낸다. 버스 보이콧 운동, 마틴 루서 킹 목사의 연설 등 흑인 인권 운동의 중요한 기점과 감화원에서의 은밀한 폭력의 증거를 담은 소설은 한 편의 연대기이자 가치 있는 역사 고증물로도 읽힌다. 

미국 플로리다주 탤러해시의 니클 캠퍼스에서 의문의 비밀 묘지가 발견된다. 두개골에 금이 가고 갈비뼈에 산탄이 박힌 수상쩍은 유해들이 세상 밖으로 드러나고, 전국의 언론들이 이 사건을 주목하면서 니클 출신의 피해자들이 목소리를 내기 시작한다. 뉴욕에 사는 엘우드 커티스는 일련의 흐름을 지켜보며 드디어 진실을 밝힐 때가 왔음을 깨닫는다. 과거의 자신과 친구가 겪은 엄청난 일을 세상에 알릴 의무가 있다고 생각하면서.",6634,BOOK
읽기만 하면 내 것이 되는 1페이지 미술 365 (고흐 에디션),김영숙 (지은이),50978,국내도서>예술/대중문화>미술>미술 이야기,9791190931106,"매일 1페이지씩, 세계 명화 365점과 함께 미술의 모든 지식을 단 한 권으로 만날 수 있는 책이다. 월요일부터 일요일까지 명작, 미술사, 화가, 장르·기법, 미술로 보는 세계사, 스캔들·미스터리, 신화·종교 총 일곱 분야의 지식을 다루고 있어 꼭 알아야 할 미술 교양을 빠짐없이 쌓을 수 있다.","문득, 미술관에 가고 싶은 당신에게
1일 1페이지, 세계 명화 365점을 만나는 아름다운 교양수업

『읽기만 하면 내 것이 되는 1페이지 미술 365』는 매일 1페이지씩, 세계 명화 365점과 함께 미술의 모든 지식을 단 한 권으로 만날 수 있는 책이다. 월요일부터 일요일까지 명작, 미술사, 화가, 장르·기법, 미술로 보는 세계사, 스캔들·미스터리, 신화·종교 총 일곱 분야의 지식을 다루고 있어 꼭 알아야 할 미술 교양을 빠짐없이 쌓을 수 있다.

반 고흐, 렘브란트처럼 잘 알려진 화가부터 콜비츠, 키르히너 등 우리가 미처 잘 몰랐던 근대화가의 눈부신 명작들을 엄선해 다뤘고, 회화뿐 아니라 조각, 고대벽화, 판화 등 다양한 장르의 미술 작품을 충실히 담았다. 단지 화가와 작품에 대한 소개에서 끝나는 것이 아니라, 그림에 얽힌 세계사·신화·기법·미스터리 등 풍성한 뒷이야기를 함께 소개해 재미있게 읽기만 하면 인문학 지식 세계가 확장되는 경험을 할 수 있다.",12321,BOOK
